l_edge,r_edge,n,fr,fr_std,mark
147216,147999,10,13.177159590043924,0.5487510482774559,3
148783,149174,5,13.745704467353953,1.6987929173919212,3
151015,153949,33,11.291460832745235,0.3355841527042268,3
154297,155010,2,1.6313213703099512,0.0,2
155508,157343,6,2.8818443804034586,0.2505403352490244,2
157243,159645,5,1.737619461337967,0.06801519891032291,2
160309,160942,2,1.8761726078799248,0.0,2
162364,163201,3,2.7137042062415198,0.09141192363759319,2
163817,164537,2,1.6129032258064517,0.0,2
164806,165440,3,3.745318352059925,0.24296186053512844,2
171439,172731,4,2.516778523489933,0.25005061104956655,2
173450,174710,3,1.7241379310344829,0.042906530112189735,1
175688,176318,2,1.8867924528301885,0.0,1
177439,178367,2,1.2077294685990339,0.0,1
181678,182137,2,2.785515320334262,0.0,1
184286,184832,2,2.242152466367713,0.0,1
