timepoint,"fr, kHz",mark,pred_mark
151950,4.424778761061947,lco,delm
152160,4.424778761061947,lco,lco
152402,4.424778761061947,lco,lco
152616,4.901960784313726,lco,delm
152803,4.901960784313726,lco,lco
153024,4.901960784313726,lco,delm
153228,4.901960784313726,lco,lco
153762,3.4285714285714284,lco,lco
154074,3.4285714285714284,lco,lco
154385,3.4285714285714284,lco,lco
154637,3.4285714285714284,lco,delm
155603,9.881422924901186,eho,eho
155691,9.881422924901186,eho,eho
155770,9.881422924901186,eho,eho
155940,9.881422924901186,eho,eho
156042,9.881422924901186,eho,eho
156142,9.881422924901186,eho,eho
156217,9.881422924901186,eho,eho
156322,9.881422924901186,eho,eho
156425,9.881422924901186,eho,eho
156506,9.881422924901186,eho,eho
156584,9.881422924901186,eho,eho
156673,9.881422924901186,eho,eho
156764,9.881422924901186,eho,eho
156843,9.881422924901186,eho,eho
156951,9.881422924901186,eho,eho
157121,9.881422924901186,eho,eho
157746,5.442176870748299,lco,delm
157923,5.442176870748299,lco,lco
158146,5.442176870748299,lco,delm
158350,5.442176870748299,lco,lco
158481,5.442176870748299,lco,lco
158743,11.3314447592068,eho,eho
158839,11.3314447592068,eho,eho
158931,11.3314447592068,eho,eho
159019,11.3314447592068,eho,eho
159121,11.3314447592068,eho,eho
159192,11.3314447592068,eho,eho
159274,11.3314447592068,eho,eho
159359,11.3314447592068,eho,eho
159465,11.3314447592068,eho,eho
159551,11.3314447592068,eho,eho
159639,11.3314447592068,eho,eho
159737,11.3314447592068,eho,eho
159817,11.3314447592068,eho,eho
159907,11.3314447592068,eho,eho
159991,11.3314447592068,eho,eho
160074,11.3314447592068,eho,eho
160155,11.3314447592068,eho,eho
160377,4.316546762589928,lco,delm
160575,4.316546762589928,lco,delm
160825,4.316546762589928,lco,delm
161072,4.316546762589928,lco,delm
164252,3.072196620583717,delm,delm
164574,3.072196620583717,delm,delm
164903,3.072196620583717,delm,lco
166944,2.6229508196721314,delm,delm
167288,2.6229508196721314,delm,delm
167638,2.6229508196721314,delm,delm
168060,2.6229508196721314,delm,delm
168469,2.6229508196721314,delm,delm
168836,4.341534008683068,lco,lco
169118,4.341534008683068,lco,lco
169297,4.341534008683068,lco,delm
169533,4.341534008683068,lco,lco
169742,4.341534008683068,lco,lco
169975,4.341534008683068,lco,lco
170218,4.341534008683068,lco,lco
170585,2.861230329041488,delm,delm
171010,2.861230329041488,delm,lco
171381,2.861230329041488,delm,lco
171699,2.861230329041488,delm,delm
171983,2.861230329041488,delm,delm
180556,1.885014137606032,delm,lco
181187,1.885014137606032,delm,lco
181617,1.885014137606032,delm,delm
184028,1.7452006980802794,delm,lco
184749,1.7452006980802794,delm,lco
185174,1.7452006980802794,delm,lco
186976,1.7084282460136673,delm,lco
187612,1.7084282460136673,delm,lco
188333,1.7084282460136673,delm,lco
188732,1.7084282460136673,delm,delm
190074,1.5045135406218657,delm,delm
190857,1.5045135406218657,delm,delm
191499,1.5045135406218657,delm,delm
192068,1.5045135406218657,delm,delm
193998,1.1235955056179776,delm,delm
194888,1.1235955056179776,delm,delm
195456,2.2988505747126435,delm,delm
195823,2.2988505747126435,delm,delm
196326,2.2988505747126435,delm,lco
196981,1.3368983957219251,delm,delm
197806,1.3368983957219251,delm,lco
198477,1.3368983957219251,delm,delm
200072,1.5698587127158556,delm,delm
200812,1.5698587127158556,delm,delm
201346,1.5698587127158556,delm,lco
204200,1.6722408026755853,delm,lco
204942,1.6722408026755853,delm,lco
205396,1.6722408026755853,delm,lco
209246,1.9305019305019304,delm,delm
209873,1.9305019305019304,delm,delm
210282,1.9305019305019304,delm,delm
