timepoint,"fr, kHz",mark
151950,4.424778761061947,lco
152160,4.424778761061947,lco
152402,4.424778761061947,lco
152616,4.901960784313726,lco
152803,4.901960784313726,lco
153024,4.901960784313726,lco
153228,4.901960784313726,lco
153762,3.4285714285714284,lco
154074,3.4285714285714284,lco
154385,3.4285714285714284,lco
154637,3.4285714285714284,lco
155603,9.881422924901186,eho
155691,9.881422924901186,eho
155770,9.881422924901186,eho
155940,9.881422924901186,eho
156042,9.881422924901186,eho
156142,9.881422924901186,eho
156217,9.881422924901186,eho
156322,9.881422924901186,eho
156425,9.881422924901186,eho
156506,9.881422924901186,eho
156584,9.881422924901186,eho
156673,9.881422924901186,eho
156764,9.881422924901186,eho
156843,9.881422924901186,eho
156951,9.881422924901186,eho
157121,9.881422924901186,eho
157746,5.442176870748299,lco
157923,5.442176870748299,lco
158146,5.442176870748299,lco
158350,5.442176870748299,lco
158481,5.442176870748299,lco
158743,11.3314447592068,eho
158839,11.3314447592068,eho
158931,11.3314447592068,eho
159019,11.3314447592068,eho
159121,11.3314447592068,eho
159192,11.3314447592068,eho
159274,11.3314447592068,eho
159359,11.3314447592068,eho
159465,11.3314447592068,eho
159551,11.3314447592068,eho
159639,11.3314447592068,eho
159737,11.3314447592068,eho
159817,11.3314447592068,eho
159907,11.3314447592068,eho
159991,11.3314447592068,eho
160074,11.3314447592068,eho
160155,11.3314447592068,eho
160377,4.316546762589928,lco
160575,4.316546762589928,lco
160825,4.316546762589928,lco
161072,4.316546762589928,lco
164252,3.0721966205837172,delm
164574,3.0721966205837172,delm
164903,3.0721966205837172,delm
166944,2.6229508196721314,delm
167288,2.6229508196721314,delm
167638,2.6229508196721314,delm
168060,2.6229508196721314,delm
168469,2.6229508196721314,delm
168836,4.341534008683068,lco
169118,4.341534008683068,lco
169297,4.341534008683068,lco
169533,4.341534008683068,lco
169742,4.341534008683068,lco
169975,4.341534008683068,lco
170218,4.341534008683068,lco
170585,2.861230329041488,delm
171010,2.861230329041488,delm
171381,2.861230329041488,delm
171699,2.861230329041488,delm
171983,2.861230329041488,delm
180556,1.885014137606032,delm
181187,1.885014137606032,delm
181617,1.885014137606032,delm
184028,1.7452006980802794,delm
184749,1.7452006980802794,delm
185174,1.7452006980802794,delm
186976,1.7084282460136673,delm
187612,1.7084282460136673,delm
188333,1.7084282460136673,delm
188732,1.7084282460136673,delm
190074,1.5045135406218657,delm
190857,1.5045135406218657,delm
191499,1.5045135406218657,delm
192068,1.5045135406218657,delm
193998,1.1235955056179776,delm
194888,1.1235955056179776,delm
195456,2.2988505747126435,delm
195823,2.2988505747126435,delm
196326,2.2988505747126435,delm
196981,1.3368983957219251,delm
197806,1.3368983957219251,delm
198477,1.3368983957219251,delm
200072,1.5698587127158556,delm
200812,1.5698587127158556,delm
201346,1.5698587127158556,delm
204200,1.6722408026755853,delm
204942,1.6722408026755853,delm
205396,1.6722408026755853,delm
209246,1.9305019305019304,delm
209873,1.9305019305019304,delm
210282,1.9305019305019304,delm
