l_edge,r_edge,n,fr,fr_std,mark
145388,146203,9,11.18881118881119,0.821436001473869,0.0
146291,147160,10,11.703511053315994,0.38205776366238164,0.0
147260,147579,4,13.698630136986303,1.6590713967442103,0.0
147665,148379,8,11.400651465798047,1.1979852267414701,0.0
148440,150033,20,12.726054922973878,0.9068513357314015,0.0
150177,151545,13,9.46372239747634,1.0713102662810674,0.0
151552,152673,5,3.9177277179236047,0.16738938020424937,0.0
153940,155158,6,4.47227191413238,0.24952669400300648,0.0
155126,156619,17,11.486001435750179,0.5233867502773619,0.0
156712,157220,5,9.803921568627452,1.8945024360272034,0.0
157299,158492,4,2.744739249771272,0.18366970427834942,0.0
158737,160157,4,2.272727272727273,0.05801856214013175,0.0
160595,161917,4,2.4549918166939446,0.22637103234259018,0.0
161923,162743,10,12.5,0.9284867654474733,0.0
163496,164281,9,11.678832116788321,1.3855536170190277,0.0
164792,165310,2,2.3923444976076556,0.0,0.0
165165,166663,19,12.875536480686694,1.0064825872924592,0.0
166855,167389,7,13.824884792626728,1.2730447585260887,0.0
167818,169218,4,2.307692307692308,0.1207426861579414,0.0
170635,171998,4,2.375296912114014,0.15410091664736336,0.0
174624,176058,4,2.2488755622188905,0.22591476980809228,0.0
175689,176752,4,3.115264797507788,0.1805645784311152,0.0
176984,178612,4,1.9633507853403143,0.20688136091556417,0.0
181852,182265,2,3.194888178913738,0.0,0.0
186259,187023,3,3.012048192771084,0.37713401238979766,0.0
187622,188255,3,3.7523452157598496,0.2885846978409119,0.0
188579,190203,4,1.968503937007874,0.11799170592580506,0.0
191377,192432,3,2.094240837696335,0.12027800898662748,0.0
194923,195606,3,3.430531732418525,0.13928877390427255,0.0
196498,197933,3,1.4981273408239701,0.04600077892798429,0.0
198109,198779,2,1.7543859649122808,0.0,0.0
199675,201023,3,1.6025641025641026,0.07562064361612154,0.0
201805,202536,3,3.1695721077654517,0.09570278798404498,0.0
205615,206389,3,2.9673590504451037,0.10675761566080652,0.0
209080,210328,3,1.7421602787456447,0.014018630047460245,0.0
222206,223163,3,2.3337222870478413,0.22168016555468723,0.0
226438,226834,3,6.756756756756757,0.9752538330905842,0.0
230235,230731,2,2.525252525252525,0.0,0.0
232537,233086,2,2.2271714922048997,0.0,0.0
