timepoint,mark
168836,lco
169118,lco
169297,lco
169533,lco
169742,lco
169975,lco
170218,lco
170585,delm
171010,delm
171381,delm
171699,delm
171983,delm
181187,delm
181617,delm
184028,delm
184749,delm
185174,delm
186527,delm
186976,delm
187612,delm
188333,delm
190074,delm
190857,delm
191499,delm
192068,delm
193998,delm
194888,delm
195456,delm
152160,lco
152402,lco
152803,lco
153024,lco
153228,lco
153762,lco
153762,lco
154074,lco
154385,lco
154637,lco
157567,lco
157923,lco
158146,lco
158350,lco
158481,lco
160377,lco
160575,lco
160825,lco
161072,lco
164252,delm
164574,delm
164903,delm
165211,delm
165478,delm
165606,delm
166944,delm
167288,delm
167638,delm
168060,delm
