timepoint,"fr, kHz",mark
144996,12.244897959183673,eho
145069,12.244897959183673,eho
145167,12.244897959183673,eho
145251,12.244897959183673,eho
145355,12.244897959183673,eho
145420,12.244897959183673,eho
145486,12.244897959183673,eho
147944,9.693053311793214,eho
148032,9.693053311793214,eho
148153,9.693053311793214,eho
148281,9.693053311793214,eho
148394,9.693053311793214,eho
148473,9.693053311793214,eho
148563,9.693053311793214,eho
147311,11.881188118811881,eho
147384,11.881188118811881,eho
147477,11.881188118811881,eho
147569,11.881188118811881,eho
147655,11.881188118811881,eho
147740,11.881188118811881,eho
147816,11.881188118811881,eho
152751,10.869565217391305,eho
152864,10.869565217391305,eho
152941,10.869565217391305,eho
153021,10.869565217391305,eho
153119,10.869565217391305,eho
151934,10.183299389002036,eho
152033,10.183299389002036,eho
152148,10.183299389002036,eho
152228,10.183299389002036,eho
152323,10.183299389002036,eho
152425,10.183299389002036,eho
153688,5.037783375314861,lco
153897,5.037783375314861,lco
154085,5.037783375314861,lco
154553,3.9735099337748347,delm
154867,3.9735099337748347,delm
155081,3.9735099337748347,delm
155308,3.9735099337748347,delm
155473,11.194029850746269,eho
155573,11.194029850746269,eho
155662,11.194029850746269,eho
155729,11.194029850746269,eho
155819,11.194029850746269,eho
155915,11.194029850746269,eho
156009,11.194029850746269,eho
156264,7.633587786259541,eho
156421,7.633587786259541,eho
156564,7.633587786259541,eho
156657,7.633587786259541,eho
156564,7.9787234042553195,eho
156657,7.9787234042553195,eho
156838,7.9787234042553195,eho
156940,7.9787234042553195,eho
157143,4.310344827586206,delm
157357,4.310344827586206,delm
157607,4.310344827586206,delm
158279,11.389521640091116,eho
158360,11.389521640091116,eho
158454,11.389521640091116,eho
158542,11.389521640091116,eho
158612,11.389521640091116,eho
158718,11.389521640091116,eho
158875,11.25703564727955,eho
158969,11.25703564727955,eho
159057,11.25703564727955,eho
159133,11.25703564727955,eho
159234,11.25703564727955,eho
159303,11.25703564727955,eho
159408,11.25703564727955,eho
159497,11.25703564727955,eho
159595,11.25703564727955,eho
159661,11.25703564727955,eho
159755,11.25703564727955,eho
159856,11.25703564727955,eho
159941,11.25703564727955,eho
160234,4.405286343612334,lco
160471,4.405286343612334,lco
160688,4.405286343612334,lco
160759,4.573170731707317,lco
160964,4.573170731707317,lco
161189,4.573170731707317,lco
161415,4.573170731707317,lco
162002,9.844134536505333,eho
162076,9.844134536505333,eho
162173,9.844134536505333,eho
162256,9.844134536505333,eho
162358,9.844134536505333,eho
162466,9.844134536505333,eho
162547,9.844134536505333,eho
162632,9.844134536505333,eho
162809,9.844134536505333,eho
162892,9.844134536505333,eho
162989,9.844134536505333,eho
163061,9.844134536505333,eho
163221,9.844134536505333,eho
164130,2.4189646831156266,delm
164514,2.4189646831156266,delm
165052,2.4189646831156266,delm
165505,2.4189646831156266,delm
165860,2.4189646831156266,delm
166197,2.4189646831156266,delm
166774,1.4598540145985401,delm
167400,1.4598540145985401,delm
168070,1.4598540145985401,delm
168829,1.4598540145985401,delm
169318,2.793296089385475,delm
169676,2.793296089385475,delm
170741,1.514004542013626,delm
171318,1.514004542013626,delm
172062,1.514004542013626,delm
172551,2.8449502133712663,delm
172881,2.8449502133712663,delm
173254,2.8449502133712663,delm
173683,1.6882386043894202,delm
174305,1.6882386043894202,delm
174908,1.6882386043894202,delm
175460,1.6882386043894202,delm
175878,2.6455026455026456,delm
176279,2.6455026455026456,delm
176634,2.6455026455026456,delm
179018,2.159827213822894,delm
179480,2.159827213822894,delm
179944,2.159827213822894,delm
180282,4.694835680751174,lco
180495,4.694835680751174,lco
181362,4.519774011299435,eho
181571,4.519774011299435,eho
181800,4.519774011299435,eho
181972,4.519774011299435,eho
182247,4.519774011299435,eho
186403,1.9801980198019802,delm
186908,1.9801980198019802,delm
195006,2.028397565922921,delm
195519,2.028397565922921,delm
195950,2.028397565922921,delm
196485,2.028397565922921,delm
204771,1.4534883720930234,delm
205476,1.4534883720930234,delm
206147,1.4534883720930234,delm
209051,2.1141649048625792,delm
209546,2.1141649048625792,delm
209997,2.1141649048625792,delm
213423,8.19672131147541,eho
213533,8.19672131147541,eho
213689,8.19672131147541,eho
213789,8.19672131147541,eho
217369,11.538461538461538,eho
217448,11.538461538461538,eho
217530,11.538461538461538,eho
217629,11.538461538461538,eho
220773,1.9193857965451055,delm
221294,1.9193857965451055,delm
