timepoint,"fr, kHz",mark,pred_mark-bypass,pred_mark-fr
145668,8.915304606240714,eho,eho,eho
145759,8.915304606240714,eho,eho,eho
145827,8.915304606240714,eho,eho,eho
145926,8.915304606240714,eho,eho,eho
146081,8.915304606240714,eho,eho,eho
146153,8.915304606240714,eho,eho,eho
146341,8.915304606240714,eho,eho,eho
148490,10.683760683760685,eho,eho,eho
148567,10.683760683760685,eho,eho,eho
148655,10.683760683760685,eho,eho,eho
148729,10.683760683760685,eho,eho,eho
148860,10.683760683760685,eho,eho,eho
148954,10.683760683760685,eho,eho,eho
149021,10.683760683760685,eho,eho,eho
149117,10.683760683760685,eho,eho,eho
149193,10.683760683760685,eho,eho,eho
149300,10.683760683760685,eho,eho,eho
149426,10.683760683760685,eho,eho,eho
151862,4.032258064516129,lco,delm,lco
152184,4.032258064516129,lco,delm,lco
152361,4.032258064516129,lco,delm,lco
152656,4.032258064516129,lco,lco,lco
152925,4.032258064516129,lco,delm,lco
153102,4.032258064516129,lco,delm,lco
156152,11.990407673860911,eho,eho,eho
156222,11.990407673860911,eho,eho,eho
156309,11.990407673860911,eho,eho,eho
156391,11.990407673860911,eho,eho,eho
156480,11.990407673860911,eho,eho,eho
156569,11.990407673860911,eho,eho,eho
157349,2.801120448179272,delm,delm,delm
157691,2.801120448179272,delm,delm,delm
158063,2.801120448179272,delm,lco,delm
160370,2.672010688042752,delm,lco,delm
160645,2.672010688042752,delm,delm,delm
161053,2.672010688042752,delm,lco,delm
161552,2.672010688042752,delm,delm,delm
161867,2.672010688042752,delm,delm,delm
164842,2.392344497607656,delm,delm,delm
165260,2.392344497607656,delm,delm,delm
170685,2.178649237472767,delm,delm,delm
171132,2.178649237472767,delm,lco,delm
171603,2.178649237472767,delm,delm,delm
174674,1.7513134851138354,delm,delm,delm
175245,1.7513134851138354,delm,delm,delm
176702,3.012048192771084,delm,delm,lco
177034,3.012048192771084,delm,lco,lco
177473,1.948051948051948,delm,delm,delm
178134,1.948051948051948,delm,delm,delm
178562,1.948051948051948,delm,lco,delm
179013,1.948051948051948,delm,delm,delm
180217,1.4184397163120568,delm,delm,delm
180922,1.4184397163120568,delm,lco,delm
181902,3.194888178913738,delm,delm,lco
182215,3.194888178913738,delm,delm,lco
186569,2.4752475247524752,delm,delm,delm
186973,2.4752475247524752,delm,lco,delm
187672,3.7523452157598496,delm,lco,lco
187903,3.7523452157598496,delm,delm,lco
188205,3.7523452157598496,delm,lco,lco
191427,2.094240837696335,delm,delm,delm
191952,2.094240837696335,delm,lco,delm
192382,2.094240837696335,delm,lco,delm
194973,3.430531732418525,delm,delm,lco
195285,3.430531732418525,delm,delm,lco
195556,3.430531732418525,delm,delm,lco
199725,1.6025641025641026,delm,delm,delm
200400,1.6025641025641026,delm,delm,delm
200973,1.6025641025641026,delm,lco,delm
205170,2.7266530334015,delm,delm,delm
205665,2.7266530334015,delm,delm,delm
206023,2.7266530334015,delm,delm,delm
206339,2.7266530334015,delm,delm,delm
206637,2.7266530334015,delm,lco,delm
