timepoint,"fr, kHz",mark
146306,12.820512820512821,eho
146392,12.820512820512821,eho
146469,12.820512820512821,eho
146555,12.820512820512821,eho
146631,12.820512820512821,eho
146696,12.820512820512821,eho
147097,11.363636363636365,eho
147165,11.363636363636365,eho
147252,11.363636363636365,eho
147345,11.363636363636365,eho
147411,11.363636363636365,eho
147500,11.363636363636365,eho
147563,11.363636363636365,eho
147647,11.363636363636365,eho
147733,11.363636363636365,eho
147826,11.363636363636365,eho
147977,11.363636363636365,eho
149447,13.089005235602093,eho
149514,13.089005235602093,eho
149598,13.089005235602093,eho
149667,13.089005235602093,eho
149753,13.089005235602093,eho
149827,13.089005235602093,eho
149908,13.089005235602093,eho
149993,13.089005235602093,eho
150069,13.089005235602093,eho
150139,13.089005235602093,eho
150211,13.089005235602093,eho
153092,10.676156583629892,eho
153182,10.676156583629892,eho
153286,10.676156583629892,eho
153373,10.676156583629892,eho
155443,11.235955056179776,eho
155519,11.235955056179776,eho
155614,11.235955056179776,eho
155710,11.235955056179776,eho
157227,2.3273855702094646,delm
157617,2.3273855702094646,delm
158107,2.3273855702094646,delm
158516,2.3273855702094646,delm
160964,1.8270401948842874,delm
161598,1.8270401948842874,delm
162235,1.8270401948842874,delm
162606,1.8270401948842874,delm
163264,1.9821605550049557,delm
163694,1.9821605550049557,delm
164273,1.9821605550049557,delm
164961,2.5220680958385877,delm
165408,2.5220680958385877,delm
165754,2.5220680958385877,delm
168035,1.773049645390071,delm
168599,1.773049645390071,delm
171463,2.2988505747126435,delm
171980,2.2988505747126435,delm
172403,2.2988505747126435,delm
172768,2.2988505747126435,delm
178219,2.770083102493075,delm
178618,2.770083102493075,delm
178941,2.770083102493075,delm
180154,4.032258064516129,lco
180402,4.032258064516129,lco
182909,1.8691588785046729,delm
183444,1.8691588785046729,delm
186501,6.968641114982579,lco
186647,6.968641114982579,lco
186788,6.968641114982579,lco
188200,2.237136465324385,delm
188647,2.237136465324385,delm
